Postcode,Rent (per sq.ft)
CR0 4WP,15.18
E3 2JG,62.59
E20 3AS,29.86
HA9 6BD,41.54
EC1Y 8NX,18.38
E3 5ES,64.22
E10 7QN,14.85
W4 1PD,72.65
SE10 8EA,23.61
HA1 2RZ,20.0
EC2V 6AA,217.56
E15 1NG,41.97
SE14 6AT,27.5
SE10 0YH,13.16
E4 7EY,18.85
E14 9GE,43.0
E14 9EX,17.12
IG6 2AJ,44.38
TW9 1EE,45.41
SE13 6AA,44.08
E2 8NA,21.78
BR3 1AW,26.54
RM13 8UA,12.22
SE10 0RA,37.81
SE9 3QL,31.65
SE10 9TS,60.56
UB9 6BT,25.05
CR2 6EQ,32.15
RM15 4YA,12.75
NW6 4HY,32.89
SW11 1SL,33.1
CR0 2FT,21.77
SE12 9QL,29.67
E9 6ND,35.38
E16 2LL,24.32
CR5 2RB,29.19
W1U 4BZ,81.58
SE22 9JD,42.27
HA1 4TR,22.5
HA1 4TR,20.5
N18 3AT,17.53
IG11 7DQ,23.07
IG11 7EN,23.08
W2 5TH,41.3
W4 1RR,55.94
SE7 8UD,22.94
BR4 0SN,31.0
RM10 8QS,23.1
RM10 8QS,12.67
RM12 6NJ,37.04
SW13 0DP,32.78
WC2H 9BU,52.52
CR2 6AW,23.05
HA5 3JF,36.84
NW8 8EP,27.97
W1H 4PD,39.2
SE9 1DD,27.05
CR8 2AA,25.0
HA5 3JF,28.06
W1G 9PR,67.35
HA5 4JS,48.39
W1U 5QD,93.46
BR6 0JB,13.37
BR7 5AQ,26.8
HA5 3HU,22.42
EC2V 5BQ,46.0
SE10 8PF,30.93
RM14 2AJ,26.1
RM9 4NU,14.56
W4 5TA,64.84
IG1 4NF,12.67
N16 0LH,19.79
E2 9PF,54.35
SE23 1JG,23.9
IG11 7YY,25.51
E16 1UQ,27.99
W1T 7NG,159.84
N4 3HP,34.21
SE26 5NF,50.68
KT4 8HT,17.72
NW10 6TS,26.16
RM17 5XR,22.79
W4 3PQ,25.69
E15 1LN,19.62
IG11 0RJ,9.0
RM13 9YH,16.59
N1 2SN,26.01
SW9 9SJ,34.01
E10 5SB,16.57
SW2 4TX,24.07
E13 9JJ,39.09
E13 0QB,20.48
SW19 1DD,68.18
SW19 1DD,40.82
CR5 2RB,14.11
NW6 3AU,67.45
NW10 6RB,40.05
RM14 3BU,30.07
E14 9SL,100.4
E14 4AS,28.0
EC2A 3BS,50.54
NW6 1NL,41.98
RM6 5NF,14.78
EN1 1SH,19.89
N8 0DU,20.05
NW6 3AU,69.15
W2 5TH,22.55
SW15 4HJ,22.29
NW8 8ET,50.52
SW11 2PF,19.84
SW6 1AH,58.62
N1 5LH,54.27
NW10 7SU,25.0
CR0 1PA,23.84
TW7 6GF,23.49
HA5 4HS,44.64
SE8 3EA,21.28
SE20 7DS,23.08
SW8 1RZ,19.94
N22 8JA,58.14
CR8 2LA,17.58
SE9 1TJ,133.87
BR6 0JU,67.14
E9 5RB,49.41
W5 5DB,50.25
IG11 0HZ,10.17
SE3 9LJ,79.11
SW1V 1RU,48.01
SW19 6RY,13.76
WC2N 5LR,41.02
SE28 8RD,13.15
N14 4XA,17.77
W2 5BH,33.13
EN2 0BX,17.56
EN2 6ED,30.45
SE28 0NG,20.45
IG11 7FA,41.91
E1 4SA,28.07
SW16 1HJ,19.19
SW6 4LY,15.58
N21 3NE,220.0
EC4Y 0DD,6.77
SE17 2AW,28.41
SW6 2TE,21.85
KT2 6QF,118.88
RM13 9YH,17.69
W11 1PR,183.28
SW15 1EX,42.63
CR0 1XJ,24.88
NW6 1NB,27.81
N16 0NY,21.88
CR0 1PA,32.78
SW3 1JJ,148.15
W6 0RF,52.77
EN4 8AL,27.59
SE17 2AL,38.87
CR2 6EQ,35.83
NW1 9QB,57.94
CR0 1LA,23.46
SM3 9HB,29.0
BR7 5AN,39.74
SE22 8JY,30.06
SW15 1RG,49.38
N16 0ST,25.54
E16 2DQ,26.26
E16 2LJ,26.21
E1 7HW,63.25
CR0 2NA,27.58
E16 2AT,350.0
E15 1GP,26.85
E8 3PH,29.62
SW9 8HX,56.36
SE11 5ES,10.04
SE1 7TP,35.0
SE1 7TP,28.05
SW15 6SQ,41.75
TW1 2AA,26.53
SM3 8BL,33.2
E16 2DQ,20.04
SW15 1JP,19.2
RM11 1QH,19.57
SE6 4JU,23.66
SM1 1BB,57.73
NW2 1LX,21.79
NW1 2RA,80.96
UB6 8UH,16.5
N8 0QY,41.72
SM1 3HE,14.84
CR0 2FU,18.52
W3 0RA,21.62
BR4 9HU,18.71
HA2 7SR,42.39
HA2 7SR,29.43
N1 6AD,35.0
BR4 0LS,38.1
SW14 8AW,43.8
KT3 6DD,19.55
E20 3AY,29.62
E20 3AS,29.97
SM1 1LF,26.18
E20 3AW,29.64
E20 3AW,33.88
HA9 6ES,37.74
E20 3AN,29.86
SW16 3PX,26.19
TW10 5LF,35.71
BR1 1TR,24.07
TW13 4AU,24.46
CR0 2FU,16.5
UB1 3EJ,20.94
SE7 7SJ,20.04
E5 8QJ,7.99
SW13 0JP,78.63
W6 9NH,25.63
EN1 1YT,21.81
EC4N 7BL,69.22
SW19 5BY,80.56
SW16 3QF,17.85
IG2 6BN,14.14
E10 6AE,25.13
E13 9BA,72.14
E2 0PJ,40.13
E15 1XA,47.77
E16 2BG,24.81
E7 0EP,37.38
RM6 5NR,12.8
E15 4QS,27.09
E13 9BA,30.34
E3 4TU,22.89
IG11 8TF,22.77
E11 4DT,18.44
E10 5PW,13.52
UB6 7LA,25.0
CR4 2JD,16.0
HA9 0PL,27.83
SW15 1EZ,53.73
CR0 0JD,18.67
CR0 0JL,24.32
NW1 7AN,51.02
KT1 3NG,21.17
CR0 1XJ,31.65
UB3 4DF,63.3
TW9 1SE,46.41
E14 9EA,30.0
SW18 1UN,39.33
N1 9GZ,17.58
NW8 6LS,35.21
NW8 7AY,51.61
SM6 0DE,25.79
SE20 8AJ,22.02
NW3 3NT,21.88
TW11 8EW,32.8
EC1Y 8NX,27.26
CR7 7ND,28.35
SW13 0PZ,46.6
W1T 6PQ,600.0
W1W 7NX,60.96
HA1 1HS,122.55
N15 4GE,372.77
N15 4EY,394.48
TW3 1ES,15.43
EC4N 7BL,56.6
EC2V 5BR,135.34
EC3A 8AA,116.49
CR0 1SZ,21.86
TW9 1HH,34.11
SW16 5NP,18.45
E17 6JJ,35.0
KT6 4NS,20.41
NW11 7PL,21.23
SE26 5QF,45.82
RM11 1RL,30.72
CR0 1DN,27.93
E14 9BX,29.48
E9 6LH,25.0
SW14 8LP,15.95
NW10 2DY,22.0
EN2 0PW,21.88
EN2 6ED,21.92
HA8 7JG,44.25
UB7 8EN,27.32
CR0 1PD,18.45
SW19 2RD,30.8
W1T 5NJ,38.38
HA5 3HR,36.65
HA5 3HR,27.0
NW10 7SU,24.97
BR1 1RW,31.65
E9 6ND,42.59
SE16 7DW,27.01
E5 8BY,35.71
SE9 1BA,24.39
TW1 3LE,45.2
E16 1JQ,30.0
HA0 4GJ,25.0
N10 3JB,31.01
SE9 1UT,40.23
SE8 4SA,14.12
EC1M 6HR,69.49
WC1X 8PX,128.62
SE6 4HH,18.8
N14 5PB,127.82
SW5 9QA,106.12
N7 6HL,137.88
RM11 3YD,30.67
W1G 8UG,145.08
TW9 1HE,30.0
E14 9QE,36.33
SE18 6GD,30.0
E20 3AS,30.0
NW9 5GW,299.53
TW3 3PJ,47.99
NW2 6GP,20.0
TW9 1TW,42.24
E3 3AE,27.43
E3 3AE,34.87
W3 6NL,23.83
SW9 8PD,25.0
W1C 1BL,94.29
W10 5SA,50.54
KT1 3AY,25.0
W1T 2JL,35.26
SE14 5RS,23.0
UB11 1AA,29.07
UB11 1FH,22.56
W3 6RT,25.0
EC2A 2AB,29.5
W14 0QH,44.74
NW10 5PA,58.06
SM1 1LB,41.96
CR0 1GG,17.62
SE9 5JF,22.57
E3 2RE,46.77
E1 2JA,39.5
RM7 0AU,17.0
E14 7AF,25.0
W14 0QH,50.0
SE6 4SN,49.65
RM12 4UH,8.21
SM6 8QG,23.2
TW7 6RJ,22.5
E14 9SL,30.0
SE18 6LS,19.99
KT1 1JB,31.06
E16 1EH,25.0
UB3 4RF,16.0
KT1,34.25
